Query 1
id = 2271   score = 1.179353
id = 13870   score = 1.179263
id = 955   score = 1.178664

Query 19
id = 23529   score = 1.393465
id = 28774   score = 1.298892
id = 22713   score = 1.275939
id = 1011   score = 1.235059
id = 29505   score = 1.233749
id = 27376   score = 1.223911
id = 1708   score = 1.223574
id = 27555   score = 1.221899
id = 4472   score = 1.221257
id = 17289   score = 1.220855
id = 8842   score = 1.218132
id = 18699   score = 1.214997
id = 5903   score = 1.214163
id = 22661   score = 1.209690
id = 17336   score = 1.208991
id = 9944   score = 1.206045
id = 17800   score = 1.186817
id = 18794   score = 1.186541
id = 17739   score = 1.183398
id = 18744   score = 1.183362

Query 20
id = 21076   score = 1.356997
id = 26968   score = 1.304416
id = 27828   score = 1.285672
id = 3770   score = 1.263326
id = 6214   score = 1.259583
id = 14751   score = 1.249866
id = 5776   score = 1.240672
id = 2725   score = 1.235008
id = 27030   score = 1.231038
id = 6870   score = 1.230448
id = 18102   score = 1.226339
id = 19976   score = 1.225681
id = 25581   score = 1.218801
id = 12561   score = 1.217595
id = 25765   score = 1.209563
id = 22552   score = 1.208856
id = 13699   score = 1.204773
id = 24840   score = 1.196018
id = 28150   score = 1.195986
id = 9603   score = 1.194185

Query 21
id = 11389   score = 1.419313
id = 23858   score = 1.331520
id = 9427   score = 1.303825
id = 28688   score = 1.290395
id = 22461   score = 1.250358
id = 18081   score = 1.248158
id = 6717   score = 1.244722
id = 15488   score = 1.239055
id = 10886   score = 1.238195
id = 29747   score = 1.237174
id = 16639   score = 1.229965
id = 24831   score = 1.226750
id = 26740   score = 1.221401
id = 21161   score = 1.220997
id = 1154   score = 1.219423
id = 21455   score = 1.218645
id = 2949   score = 1.218103
id = 21096   score = 1.212922
id = 16449   score = 1.212094
id = 3200   score = 1.199472

Query 22
id = 11910   score = 1.293352
id = 5016   score = 1.266575
id = 15571   score = 1.244106
id = 20622   score = 1.242887
id = 18881   score = 1.231434
id = 5366   score = 1.224415
id = 2589   score = 1.224362
id = 14138   score = 1.224232
id = 25544   score = 1.221787
id = 29794   score = 1.211548
id = 1712   score = 1.209921
id = 29603   score = 1.198913
id = 16057   score = 1.197256
id = 19934   score = 1.189397
id = 246   score = 1.187120
id = 1965   score = 1.184735
id = 3256   score = 1.184327
id = 13852   score = 1.183822
id = 17378   score = 1.183307
id = 869   score = 1.182161

Query 23
id = 14887   score = 1.370539
id = 9874   score = 1.320798
id = 19779   score = 1.289705
id = 13595   score = 1.285093
id = 7085   score = 1.259868
id = 2321   score = 1.259706
id = 18154   score = 1.250683
id = 5308   score = 1.242917
id = 18647   score = 1.242903
id = 8014   score = 1.242528
id = 20786   score = 1.235831
id = 9118   score = 1.232061
id = 10761   score = 1.230814
id = 4138   score = 1.229231
id = 28132   score = 1.227594
id = 24347   score = 1.224514
id = 8701   score = 1.220668
id = 20029   score = 1.216882
id = 10306   score = 1.214435
id = 15403   score = 1.213515

Query 24
id = 13138   score = 1.307243
id = 2518   score = 1.289459
id = 9888   score = 1.278220
id = 7524   score = 1.274096
id = 27153   score = 1.269533
id = 2509   score = 1.251859
id = 11276   score = 1.244483
id = 17399   score = 1.241192
id = 25037   score = 1.228154
id = 23999   score = 1.220859
id = 25954   score = 1.217626
id = 4491   score = 1.217621
id = 7948   score = 1.216666
id = 17861   score = 1.215542
id = 11442   score = 1.212489
id = 29913   score = 1.208760
id = 9748   score = 1.206354
id = 20490   score = 1.205974
id = 9261   score = 1.203528
id = 24176   score = 1.202836

Query 25
id = 5184   score = 1.422053
id = 18055   score = 1.360752
id = 681   score = 1.330790
id = 6305   score = 1.328559
id = 19373   score = 1.305626
id = 18808   score = 1.278720
id = 27930   score = 1.278021
id = 27349   score = 1.274394
id = 20020   score = 1.264286
id = 25467   score = 1.260598
id = 23043   score = 1.259663
id = 14582   score = 1.258427
id = 903   score = 1.257750
id = 9150   score = 1.257391
id = 9228   score = 1.246353
id = 14252   score = 1.243697
id = 17560   score = 1.242359
id = 2050   score = 1.241728
id = 29659   score = 1.236489
id = 6674   score = 1.234186

Query 26
id = 24039   score = 1.335952
id = 16803   score = 1.280973
id = 3607   score = 1.270602
id = 22282   score = 1.258206
id = 8371   score = 1.247627
id = 25747   score = 1.247369
id = 6562   score = 1.241575
id = 15557   score = 1.234602
id = 17806   score = 1.221770
id = 7041   score = 1.212899
id = 29364   score = 1.210600
id = 27068   score = 1.206298
id = 13935   score = 1.203176
id = 18355   score = 1.198858
id = 8701   score = 1.198770
id = 27339   score = 1.197937
id = 22110   score = 1.195213
id = 5717   score = 1.194723
id = 21916   score = 1.192823
id = 25938   score = 1.190402

Query 27
id = 4074   score = 1.349447
id = 17568   score = 1.330633
id = 27188   score = 1.292495
id = 1633   score = 1.290384
id = 11694   score = 1.271902
id = 25508   score = 1.261334
id = 4689   score = 1.227830
id = 22206   score = 1.226807
id = 14102   score = 1.217973
id = 10524   score = 1.209597
id = 24608   score = 1.205330
id = 12335   score = 1.204185
id = 28570   score = 1.196173
id = 15428   score = 1.193157
id = 17795   score = 1.193008
id = 27526   score = 1.188453
id = 15822   score = 1.185711
id = 7705   score = 1.184090
id = 27208   score = 1.182552
id = 25923   score = 1.181801

Query 28
id = 12498   score = 1.379932
id = 4741   score = 1.270570
id = 17635   score = 1.265624
id = 20356   score = 1.263889
id = 22213   score = 1.219513
id = 19669   score = 1.216920
id = 22634   score = 1.203252
id = 23014   score = 1.197560
id = 11821   score = 1.194961
id = 14978   score = 1.191892
id = 4247   score = 1.191357
id = 26194   score = 1.191118
id = 17918   score = 1.190568
id = 20081   score = 1.182786
id = 12526   score = 1.182067
id = 14728   score = 1.176576
id = 25387   score = 1.175949
id = 16388   score = 1.173778
id = 23448   score = 1.169722
id = 1967   score = 1.167368

Query 29
id = 11958   score = 1.347722
id = 10047   score = 1.327519
id = 27637   score = 1.319636
id = 492   score = 1.309370
id = 19320   score = 1.296374
id = 13685   score = 1.275152
id = 2712   score = 1.270838
id = 19498   score = 1.265624
id = 24986   score = 1.264928
id = 11679   score = 1.260959
id = 2896   score = 1.257645
id = 11459   score = 1.243753
id = 21127   score = 1.241594
id = 17563   score = 1.233744
id = 627   score = 1.232605
id = 20075   score = 1.226984
id = 8505   score = 1.220445
id = 7995   score = 1.219182
id = 23429   score = 1.212116
id = 10616   score = 1.206923

Query 30
id = 14166   score = 1.405737
id = 21178   score = 1.340107
id = 27858   score = 1.291452
id = 25174   score = 1.270104
id = 8753   score = 1.262821
id = 10614   score = 1.257789
id = 6567   score = 1.257307
id = 24107   score = 1.251899
id = 5800   score = 1.249754
id = 25380   score = 1.248922
id = 25385   score = 1.246479
id = 1145   score = 1.235188
id = 21014   score = 1.227470
id = 24761   score = 1.227058
id = 29142   score = 1.225125
id = 27503   score = 1.215833
id = 19491   score = 1.215348
id = 24136   score = 1.213815
id = 16075   score = 1.213685
id = 18313   score = 1.210084

Query 31
id = 13105   score = 1.396221
id = 7122   score = 1.382942
id = 11854   score = 1.315924
id = 11580   score = 1.283088
id = 13025   score = 1.259172
id = 499   score = 1.258468
id = 6199   score = 1.253476
id = 27198   score = 1.245558
